timestamp,session_id,device_id,event_type,app_name,url,title,tab_id,scroll_delta_y,scroll_total_y,duration_ms,reaction_time_ms,miss,error,extra
1777217744.020947,session_20260426_163507_d68aa0,device_1b4e5cf7,active_app_change,chrome.exe,,,,,,,,,,
1777217744.721,session_20260426_163507_d68aa0,browser_mofw0w8r5lygd9,tab_hidden,chrome.exe,https://www.edclub.com/sportal/program-17/5351.play,,1433668131,,,,,,,
1777217744.737,session_20260426_163507_d68aa0,browser_mofw0w8r5lygd9,tab_switch,chrome.exe,chrome://extensions/,Extensions,1433668090,,,,,,,
1777217764.1148527,session_20260426_163507_d68aa0,device_1b4e5cf7,active_app_change,explorer.exe,,,,,,,,,,
1777217765.1160128,session_20260426_163507_d68aa0,device_1b4e5cf7,active_app_change,code.exe,,,,,,,,,,
1777217775.127384,session_20260426_163507_d68aa0,device_1b4e5cf7,active_app_change,chrome.exe,,,,,,,,,,
1777217777.255,session_20260426_163507_d68aa0,browser_mofw0w8r5lygd9,tab_switch,chrome.exe,https://chatgpt.com/,ChatGPT,1433668127,,,,,,,
1777217777.843,session_20260426_163507_d68aa0,browser_mofw0w8r5lygd9,tab_hidden,chrome.exe,https://chatgpt.com/,,1433668127,,,,,,,
1777217777.844,session_20260426_163507_d68aa0,browser_mofw0w8r5lygd9,tab_switch,chrome.exe,https://www.edclub.com/sportal/program-17/5351.play,edclub,1433668131,,,,,,,
1777217780.155,session_20260426_163507_d68aa0,browser_mofw0w8r5lygd9,navigation,chrome.exe,https://www.edclub.com/sportal/program-17/5352.play,edclub,1433668131,,,,,,,
1777217788.115,session_20260426_163507_d68aa0,browser_mofw0w8r5lygd9,navigation,chrome.exe,https://www.edclub.com/sportal/program-17/5353.play,edclub,1433668131,,,,,,,
1777217800.5869186,session_20260426_163507_d68aa0,device_1b4e5cf7,dual_task,chrome.exe,,,,,,,1861.56,False,False,
1777217833.035306,session_20260426_163507_d68aa0,device_1b4e5cf7,dual_task,chrome.exe,,,,,,,1712.51,False,False,
1777217853.664,session_20260426_163507_d68aa0,browser_mofw0w8r5lygd9,navigation,chrome.exe,https://www.edclub.com/sportal/program-17/5354.play,edclub,1433668131,,,,,,,
1777217865.319312,session_20260426_163507_d68aa0,device_1b4e5cf7,dual_task,chrome.exe,,,,,,,1921.92,False,False,
1777217897.1930194,session_20260426_163507_d68aa0,device_1b4e5cf7,active_app_change,python.exe,,,,,,,,,,
1777217898.5982912,session_20260426_163507_d68aa0,device_1b4e5cf7,dual_task,python.exe,,,,,,,2892.88,False,False,
1777217898.6957748,session_20260426_163507_d68aa0,device_1b4e5cf7,active_app_change,chrome.exe,,,,,,,,,,
1777217930.2247486,session_20260426_163507_d68aa0,device_1b4e5cf7,dual_task,chrome.exe,,,,,,,1199.48,False,False,
1777217950.013,session_20260426_163507_d68aa0,browser_mofw0w8r5lygd9,tab_switch,chrome.exe,chrome://extensions/,Extensions,1433668090,,,,,,,
1777217950.014,session_20260426_163507_d68aa0,browser_mofw0w8r5lygd9,tab_hidden,chrome.exe,https://www.edclub.com/sportal/program-17/5354.play,,1433668131,,,,,,,
1777217951.016,session_20260426_163507_d68aa0,browser_mofw0w8r5lygd9,tab_switch,chrome.exe,https://chatgpt.com/,ChatGPT,1433668127,,,,,,,
1777217962.5115848,session_20260426_163507_d68aa0,device_1b4e5cf7,dual_task,chrome.exe,,,,,,,1945.0,False,False,
1777217994.3658867,session_20260426_163507_d68aa0,device_1b4e5cf7,active_app_change,python.exe,,,,,,,,,,
1777217994.501617,session_20260426_163507_d68aa0,device_1b4e5cf7,dual_task,python.exe,,,,,,,1597.89,False,False,
1777217995.367053,session_20260426_163507_d68aa0,device_1b4e5cf7,active_app_change,chrome.exe,,,,,,,,,,
